id,title,director,gender,duration,year_received
Q272036,Wings,William Augustus Wellman/Harry d’Abbadie d’Arrast,male,141,1929
Q463620,The Broadway Melody,Harry Beaumont,male,110,1930
Q272599,All Quiet on the Western Front,Lewis Milestone,male,136,1930
Q251997,Cimarron,Wesley Ruggles,male,131,1931
Q246656,Grand Hotel,Edmund Goulding,male,113,1932
Q753107,Cavalcade,Frank Lloyd,male,110,1934
Q208632,It Happened One Night,Frank Capra,male,105,1935
Q329709,Mutiny on the Bounty,Frank Lloyd,male,132,1936
Q470218,The Great Ziegfeld,Robert Z. Leonard,male,176,1937
Q738552,The Life of Emile Zola,William Dieterle,male,116,1938
Q637835,You Can't Take It With You,Frank Capra,male,126,1939
Q2875,Gone with the Wind,Victor Fleming/Sam Wood/George Cukor,male,238,1940
Q204212,Rebecca,Alfred Hitchcock,male,126,1941
Q244448,How Green Was My Valley,John Ford,male,118,1942
Q478371,Mrs. Miniver,William Wyler,male,134,1943
Q132689,Casablanca,Michael Curtiz,male,102,1944
Q468877,Going My Way,Leo McCarey,male,130,1945
Q237134,The Lost Weekend,Billy Wilder,male,101,1946
Q645094,The Best Years of Our Lives,William Wyler,male,172,1947
Q898840,Gentleman's Agreement,Elia Kazan,male,118,1948
Q27178,Hamlet,Laurence Olivier,male,150,1949
Q817159,All the King's Men,Robert Rossen,male,109,1950
Q200299,All About Eve,Joseph L. Mankiewicz,male,138,1951
Q747570,An American in Paris,Vincente Minnelli,male,108,1952
Q641061,The Greatest Show on Earth,Cecil B. DeMille,male,152,1953
Q207588,From Here to Eternity,Fred Zinnemann,male,118,1954
Q211372,On the Waterfront,Elia Kazan,male,108,1955
Q237116,Marty,Paul Helmick/Delbert Mann,male,91,1956
Q696057,Around the World in 80 Days,Michael Anderson/John Farrow,male,184,1957
Q188718,The Bridge on the River Kwai,David Lean,male,156,1958
Q577757,Gigi,Vincente Minnelli/Charles Walters,male,119,1959
Q180098,Ben-Hur,William Wyler,male,222,1960
Q270510,The Apartment,Billy Wilder,male,125,1961
Q273704,West Side Story,Robert Wise/Jerome Robbins,male,150,1962
Q228186,Lawrence of Arabia,David Lean,male,216,1963
Q313315,Tom Jones,Tony Richardson,male,128,1964
Q201215,My Fair Lady,George Cukor,male,171,1965
Q60072,The Sound of Music,Robert Wise,male,174,1966
Q218999,A Man for All Seasons,Fred Zinnemann,male,118,1967
Q622240,In the Heat of the Night,Norman Jewison,male,109,1968
Q141359,Oliver!,Carol Reed,male,146,1969
Q61696,Midnight Cowboy,John Schlesinger,male,108,1970
Q217220,Patton,Franklin J. Schaffner,male,170,1971
Q220735,The French Connection,William Friedkin,male,104,1972
Q47703,The Godfather,Francis Ford Coppola,male,175,1973
Q62665,The Sting,George Roy Hill,male,129,1974
Q184768,The Godfather Part II,Francis Ford Coppola,male,202,1975
Q171669,One Flew Over the Cuckoo's Nest,Miloš Forman,male,133,1976
Q188652,Rocky,John G. Avildsen,male,119,1977
Q233464,Annie Hall,Woody Allen,male,93,1978
Q201674,The Deer Hunter,Michael Cimino,male,182,1979
Q193577,Kramer vs. Kramer,Robert Benton,male,100,1980
Q202211,Gandhi,Richard Attenborough,male,181,1981
Q503313,Ordinary People,Robert Redford,male,124,1981
Q207921,Chariots of Fire,Hugh Hudson,male,118,1982
Q185071,Terms of Endearment,James L. Brooks,male,132,1984
Q190956,Amadeus,Miloš Forman,male,161,1985
Q208266,Out of Africa,Sydney Pollack,male,160,1986
Q190643,Platoon,Oliver Stone,male,115,1987
Q212775,The Last Emperor,Bernardo Bertolucci,male,165,1988
Q188845,Rain Man,Barry Levinson,male,128,1989
Q211373,Driving Miss Daisy,Bruce Beresford,male,99,1990
Q20456,Dances with Wolves,Kevin Costner,male,181,1991
Q133654,The Silence of the Lambs,Jonathan Demme,male,118,1992
Q104137,Unforgiven,Clint Eastwood,male,131,1993
Q483941,Schindler's List,Steven Spielberg,male,195,1994
Q134773,Forrest Gump,Robert Zemeckis,male,136,1995
Q162729,Braveheart,Mel Gibson,male,177,1996
Q63026,The English Patient,Anthony Minghella,male,162,1997
Q44578,Titanic,James Cameron,male,194,1998
Q182944,Shakespeare in Love,John Madden,male,123,1999
Q25139,American Beauty,Sam Mendes,male,121,2000
Q128518,Gladiator,Ridley Scott,male,155,2001
Q164103,A Beautiful Mind,Ron Howard,male,135,2002
Q189889,Chicago,Rob Marshall,male,113,2003
Q131074,The Lord of the Rings: The Return of the King,Peter Jackson,male,201,2004
Q184255,Million Dollar Baby,Clint Eastwood,male,132,2005
Q188000,Crash,Paul Haggis,male,112,2006
Q172975,The Departed,Martin Scorsese,male,152,2007
Q183081,No Country for Old Men,Joel Coen/Ethan Coen,male,122,2008
Q125076,Slumdog Millionaire,Loveleen Tandan/Danny Boyle,female/male,120,2009
Q183066,The Hurt Locker,Kathryn Bigelow,female,131,2010
Q160060,The King's Speech,Tom Hooper,male,118,2011
Q171861,The Artist,Michel Hazanavicius,male,100,2012
Q59653,Argo,Ben Affleck,male,120,2013
Q3023357,12 Years a Slave,Steve McQueen,male,133,2014
Q13255497,Birdman,Alejandro González Iñárritu,male,119,2015
Q18154496,Spotlight,Tom McCarthy,male,127,2016
Q21527875,Moonlight,Barry Jenkins,male,111,2017
Q26698156,The Shape of Water,Guillermo del Toro,male,123,2018
Q48673898,Green Book,Peter Farrelly,male,130,2019
Q61448040,Parasite,Bong Joon-ho,male,132,2020
Q61740820,Nomadland,Chloé Zhao,female,107,2021
Q104686893,CODA,Siân Héder,female,111,2022
Q83808444,Everything Everywhere All at Once,Dan Kwan/Daniel Scheinert,male,139,2023
